state,Total Population,Under 10 years old,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 years and over
TN,3362099.0,421351.0,227633.0,135614.0,89013.0,47723.0,45897.0,129360.0,239746.0,224696.0,218918.0,208809.0,217933.0,220308.0,220396.0,88934.0,126167.0,76313.0,103002.0,140998.0,179288.0
TX,14398171.0,2044080.0,1111175.0,647804.0,420650.0,205577.0,207513.0,603136.0,1061926.0,1058376.0,1032818.0,978499.0,922910.0,867292.0,846492.0,321270.0,435335.0,260456.0,341471.0,449443.0,581948.0
UT,1633843.0,262522.0,140717.0,82895.0,49552.0,25206.0,28401.0,82033.0,126080.0,113794.0,121737.0,107985.0,92824.0,79430.0,77461.0,31937.0,42959.0,26269.0,35254.0,45163.0,61624.0
VT,318533.0,32341.0,18161.0,11305.0,11187.0,5403.0,5626.0,12970.0,19308.0,18779.0,19233.0,17537.0,18832.0,21408.0,23792.0,10114.0,14383.0,8605.0,12350.0,16737.0,20462.0
VA,4245281.0,523588.0,280270.0,166637.0,120575.0,62642.0,60150.0,172581.0,297545.0,295939.0,293361.0,275492.0,274107.0,281133.0,286969.0,112213.0,147687.0,90785.0,122933.0,162442.0,218232.0
WA,3831964.0,473337.0,245314.0,142233.0,92152.0,49338.0,49629.0,150710.0,297673.0,299163.0,280665.0,254245.0,240500.0,236459.0,239387.0,97280.0,141351.0,84389.0,112853.0,152964.0,192322.0
WV,896723.0,99373.0,56100.0,33282.0,24225.0,12027.0,13191.0,32155.0,55187.0,52333.0,55333.0,55148.0,57912.0,59391.0,61799.0,25577.0,38880.0,24920.0,34390.0,45654.0,59846.0
WI,2937621.0,348662.0,195924.0,117764.0,80210.0,42039.0,41827.0,116308.0,189562.0,185722.0,196147.0,174804.0,177235.0,194284.0,212596.0,85029.0,118999.0,70758.0,94578.0,127518.0,167655.0
WY,295204.0,37289.0,20150.0,11865.0,8067.0,4015.0,3725.0,11814.0,19511.0,20201.0,20214.0,18446.0,16741.0,16945.0,19680.0,8665.0,10907.0,7140.0,10568.0,13079.0,16182.0
PR,1571861.0,143724.0,97625.0,63284.0,45153.0,24736.0,26031.0,64434.0,111493.0,94509.0,90676.0,100242.0,99600.0,102602.0,102088.0,42708.0,57498.0,38951.0,51481.0,79580.0,135446.0
